"Player","Rating","Games","1st","2nd","3rd","4th","5th","6th","Lag"
13175833,1323.48156314319,8,0,0,0,0,0,0,68023
27693515,1323.45880611643,10,0,0,0,0,0,0,70438
12815341,1323.43384953834,9,1,5,0,0,0,0,67343
7802148,1323.42453660499,46,5,12,0,0,0,0,9711
12752460,1323.39551849849,7,0,0,0,0,0,0,26578
14445810,1323.38557341061,10,0,0,0,0,0,0,8397
12126264,1323.33595989197,14,0,0,0,0,0,0,39779
17994125,1323.26298584774,33,5,1,0,0,0,0,24885
12125063,1323.23026300052,8,0,0,0,0,0,0,21651
27959363,1323.20413709582,11,0,0,0,0,0,0,1125
15594174,1323.20130436884,11,0,0,0,0,0,0,83962
12280101,1323.19065752693,10,0,0,0,0,0,0,104019
20537608,1323.16505538412,11,0,0,0,0,0,0,96728
31278209,1323.12422764376,6,0,1,0,0,0,0,78535
17039024,1323.07657745834,10,0,0,0,0,0,0,108504
8728647,1323.06532270567,60,3,12,0,0,0,0,126867
24534783,1323.06381022442,21,0,1,0,0,0,0,28170
12396731,1323.01297316231,61,3,4,0,0,0,0,110734
11732947,1322.98288655482,64,0,0,0,0,0,0,3116
22325988,1322.96402425884,61,11,11,0,0,0,0,107852
24022160,1322.9586665814,9,0,0,0,0,0,0,71476
5808807,1322.92557335082,17,0,0,0,0,0,0,96079
17229392,1322.86005181501,18,4,4,0,0,0,0,44682
16137073,1322.81323682969,34,0,0,0,0,0,0,23278
10696665,1322.80147874217,25,0,0,0,0,0,0,6025
26966968,1322.74110252667,8,0,0,0,0,0,0,9545
16635297,1322.67654555773,12,0,0,0,0,0,0,9550
